symbol,take_profit,stop_loss,max_hold_bars,volume_ratio,rsi_max,total_trades,win_rate,total_return,mdd,pf,avg_hold_bars
KRW-AAVE,0.01,0.015,50,2.0,65,688,51.5,-45.2,-51.81,0.894,27.3
KRW-AAVE,0.005,0.01,50,2.0,65,729,61.9,-37.67,-36.31,0.884,14.2
KRW-AAVE,0.005,0.01,30,2.0,65,735,59.5,-36.05,-35.65,0.883,12.6
KRW-AAVE,0.005,0.015,50,2.0,65,720,66.8,-40.04,-38.93,0.882,18.2
KRW-AAVE,0.02,0.015,50,2.0,65,659,37.2,-59.48,-66.27,0.878,38.7
KRW-AAVE,0.01,0.015,30,2.0,65,706,47.7,-48.8,-50.28,0.875,21.0
KRW-AAVE,0.01,0.01,50,2.0,65,701,46.2,-53.2,-50.38,0.87,22.0
KRW-AAVE,0.01,0.01,30,2.0,65,715,44.2,-48.34,-47.7,0.87,17.9
KRW-AAVE,0.02,0.015,30,2.0,65,686,35.4,-55.95,-62.12,0.868,28.9
KRW-AAVE,0.005,0.015,30,2.0,65,728,62.9,-46.11,-41.63,0.86,15.1
KRW-AAVE,0.015,0.015,50,2.0,65,674,42.3,-66.03,-61.62,0.859,34.0
KRW-AAVE,0.02,0.01,30,2.0,65,696,32.5,-59.53,-56.94,0.855,25.1
KRW-AAVE,0.02,0.01,50,2.0,65,674,33.1,-68.52,-63.13,0.854,31.8
KRW-AAVE,0.02,0.015,50,2.0,70,1086,37.0,-120.48,-78.51,0.854,38.7
KRW-AAVE,0.02,0.015,20,2.0,65,707,33.1,-60.09,-56.27,0.845,22.2
KRW-AAVE,0.01,0.015,50,1.2,70,1708,50.9,-174.11,-86.62,0.844,26.8
KRW-AAVE,0.02,0.01,50,2.0,70,1129,33.0,-124.68,-77.64,0.843,31.3
KRW-AAVE,0.015,0.015,50,2.0,70,1126,42.5,-131.28,-78.82,0.839,33.1
KRW-AAVE,0.01,0.015,20,2.0,65,719,43.1,-59.28,-50.85,0.836,16.5
KRW-AAVE,0.01,0.015,50,1.2,65,1087,50.1,-116.7,-74.6,0.835,27.4
KRW-AAVE,0.01,0.015,30,1.2,65,1127,46.3,-105.58,-70.35,0.834,21.3
KRW-AAVE,0.015,0.015,30,2.0,65,698,38.7,-70.04,-58.27,0.833,25.2
KRW-AAVE,0.005,0.008,50,2.0,65,733,57.0,-54.31,-46.06,0.832,11.8
KRW-AAVE,0.02,0.015,30,2.0,70,1164,34.5,-130.99,-80.03,0.825,28.9
KRW-AAVE,0.005,0.01,20,2.0,65,740,54.7,-53.36,-44.24,0.824,10.9
KRW-AAVE,0.005,0.015,20,2.0,65,736,56.8,-54.41,-45.16,0.824,12.4
KRW-AAVE,0.01,0.015,30,1.5,65,951,46.3,-94.06,-65.61,0.824,21.3
KRW-AAVE,0.01,0.015,50,2.0,70,1169,50.4,-137.17,-78.81,0.823,26.9
KRW-AAVE,0.02,0.015,50,1.2,70,1520,36.3,-208.48,-91.46,0.823,38.5
KRW-AAVE,0.02,0.008,50,2.0,65,685,29.5,-81.14,-64.16,0.822,27.4
KRW-AAVE,0.02,0.01,20,2.0,65,712,31.6,-68.12,-55.48,0.822,20.1
KRW-AAVE,0.005,0.015,50,1.2,65,1145,64.7,-102.14,-68.85,0.822,18.8
KRW-AAVE,0.01,0.01,20,2.0,65,724,41.2,-63.27,-50.0,0.822,14.6
KRW-AAVE,0.015,0.01,50,2.0,70,1166,37.8,-140.86,-79.57,0.82,26.5
KRW-AAVE,0.02,0.015,30,1.5,65,909,34.5,-102.74,-70.16,0.82,28.9
KRW-AAVE,0.005,0.015,30,1.2,65,1170,61.0,-98.63,-67.28,0.819,15.5
KRW-AAVE,0.005,0.01,50,2.0,70,1301,60.6,-111.13,-69.26,0.816,13.6
KRW-AAVE,0.005,0.015,50,1.5,70,1637,65.4,-150.26,-82.37,0.816,18.0
KRW-AAVE,0.005,0.015,50,2.0,70,1263,65.4,-115.63,-72.57,0.815,18.2
KRW-AAVE,0.01,0.01,50,2.0,70,1210,45.5,-136.96,-77.53,0.815,21.0
KRW-AAVE,0.01,0.015,30,1.2,70,1820,46.2,-195.4,-88.32,0.815,21.1
KRW-AAVE,0.015,0.01,30,2.0,65,707,35.5,-74.08,-55.53,0.815,21.8
KRW-AAVE,0.015,0.01,50,2.0,65,688,37.2,-84.33,-60.99,0.813,27.8
KRW-AAVE,0.015,0.015,50,1.2,70,1601,41.9,-219.44,-92.13,0.813,33.0
KRW-AAVE,0.02,0.01,30,2.0,70,1185,31.9,-135.81,-78.96,0.813,25.0
KRW-AAVE,0.01,0.015,50,1.5,70,1489,50.2,-184.63,-87.42,0.813,26.9
KRW-AAVE,0.02,0.015,50,1.5,70,1353,35.8,-197.29,-90.38,0.812,38.5
KRW-AAVE,0.005,0.008,30,2.0,65,739,54.9,-59.53,-48.34,0.812,10.7
KRW-AAVE,0.02,0.015,30,1.2,70,1662,34.2,-203.4,-90.03,0.81,29.0
KRW-AAVE,0.01,0.008,50,2.0,65,709,41.9,-76.48,-58.08,0.81,18.6
KRW-AAVE,0.005,0.015,30,1.5,70,1689,61.4,-150.46,-80.85,0.809,14.9
KRW-AAVE,0.005,0.015,30,1.5,65,982,61.0,-88.17,-63.14,0.808,15.5
KRW-AAVE,0.02,0.015,30,1.2,65,1065,34.1,-131.1,-77.24,0.805,28.9
KRW-AAVE,0.005,0.01,30,2.0,70,1315,58.3,-114.69,-70.3,0.805,12.2
KRW-AAVE,0.015,0.015,50,1.5,70,1418,41.6,-204.09,-90.7,0.805,32.8
KRW-AAVE,0.005,0.015,50,1.2,70,1881,65.1,-184.71,-87.55,0.805,18.1
KRW-AAVE,0.01,0.015,50,1.5,65,918,49.5,-117.63,-73.11,0.804,27.6
KRW-AAVE,0.015,0.015,30,2.0,70,1199,38.4,-148.26,-80.93,0.803,25.0
KRW-AAVE,0.02,0.008,30,2.0,65,705,29.9,-81.47,-61.2,0.802,22.3
KRW-AAVE,0.015,0.015,30,1.2,70,1733,38.4,-213.91,-90.8,0.802,25.1
KRW-AAVE,0.02,0.015,50,1.2,65,1007,35.4,-154.21,-83.05,0.802,38.7
KRW-AAVE,0.01,0.008,30,2.0,65,723,41.2,-74.72,-56.08,0.802,15.5
KRW-AAVE,0.005,0.015,50,1.5,65,963,64.4,-96.96,-66.72,0.801,18.7
KRW-AAVE,0.015,0.015,30,1.5,65,930,38.2,-113.21,-71.45,0.8,25.3
KRW-AAVE,0.02,0.015,50,1.5,65,863,35.7,-132.36,-78.69,0.8,38.5
KRW-AAVE,0.015,0.015,20,2.0,65,714,36.4,-76.4,-57.7,0.799,19.4
KRW-AAVE,0.005,0.015,30,1.2,70,1948,61.2,-184.09,-86.41,0.799,14.9
KRW-AAVE,0.02,0.015,20,2.0,70,1218,32.1,-139.16,-79.36,0.799,22.4
KRW-AAVE,0.02,0.015,30,1.5,70,1472,33.8,-192.16,-88.8,0.798,29.0
KRW-AAVE,0.005,0.015,20,1.2,65,1199,55.0,-105.32,-68.26,0.797,12.6
KRW-AAVE,0.005,0.01,50,1.5,65,984,59.2,-94.96,-64.86,0.797,14.6
KRW-AAVE,0.02,0.008,20,2.0,65,717,30.0,-78.29,-59.36,0.796,18.4
KRW-AAVE,0.005,0.015,30,2.0,70,1294,61.2,-124.31,-73.8,0.796,15.0
KRW-AAVE,0.015,0.01,30,2.0,70,1220,35.7,-148.45,-80.5,0.795,21.4
KRW-AAVE,0.015,0.015,30,1.2,65,1093,38.1,-137.63,-78.19,0.795,25.3
KRW-AAVE,0.01,0.01,30,1.2,65,1150,42.6,-129.23,-75.74,0.795,18.0
KRW-AAVE,0.015,0.015,30,1.5,70,1529,38.2,-198.15,-89.03,0.794,25.0
KRW-AAVE,0.01,0.01,30,2.0,70,1250,43.1,-143.51,-78.51,0.794,17.6
KRW-AAVE,0.02,0.008,50,2.0,70,1164,29.0,-162.31,-84.79,0.794,26.8
KRW-AAVE,0.01,0.01,50,1.2,65,1124,44.6,-141.7,-79.13,0.794,22.0
KRW-AAVE,0.005,0.01,30,1.2,65,1189,56.9,-111.65,-70.26,0.793,12.8
KRW-AAVE,0.005,0.01,50,1.2,65,1177,59.0,-117.02,-72.01,0.793,14.6
KRW-AAVE,0.01,0.015,30,1.5,70,1582,45.6,-191.27,-87.45,0.793,21.1
KRW-AAVE,0.02,0.015,10,2.0,65,739,30.7,-67.85,-53.55,0.793,14.1
KRW-AAVE,0.02,0.01,10,2.0,65,740,30.1,-67.19,-53.44,0.792,13.5
KRW-AAVE,0.01,0.01,50,1.2,70,1799,45.2,-233.31,-92.09,0.792,21.0
KRW-AAVE,0.015,0.015,50,1.2,65,1042,40.9,-157.59,-82.99,0.792,33.6
KRW-AAVE,0.01,0.015,30,2.0,70,1229,46.0,-150.47,-81.48,0.792,21.0
KRW-AAVE,0.005,0.01,50,1.5,70,1705,59.9,-172.63,-84.35,0.788,13.5
KRW-AAVE,0.01,0.015,20,1.2,65,1165,41.0,-127.16,-75.2,0.788,16.7
KRW-AAVE,0.02,0.01,20,2.0,70,1227,30.7,-143.39,-79.92,0.788,20.3
KRW-AAVE,0.005,0.015,20,1.2,70,2018,56.1,-188.96,-87.04,0.787,12.2
KRW-AAVE,0.005,0.01,10,2.0,65,756,47.9,-58.73,-47.11,0.787,7.7
KRW-AAVE,0.01,0.01,10,2.0,65,750,37.6,-66.01,-52.05,0.786,9.9
KRW-AAVE,0.005,0.01,30,1.5,65,997,56.9,-96.36,-65.37,0.786,12.8
KRW-AAVE,0.015,0.015,50,1.5,65,887,40.9,-137.69,-78.51,0.786,33.7
KRW-AAVE,0.01,0.015,10,2.0,65,749,38.3,-67.15,-52.81,0.786,10.4
KRW-AAVE,0.02,0.01,50,1.5,70,1424,31.9,-220.58,-91.71,0.786,31.1
KRW-AAVE,0.005,0.015,20,1.5,70,1743,56.1,-164.45,-83.16,0.785,12.2
