N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,PER,ROE
1,KODEX 200선물인버스2X,278.0,상승  2,+0.72%,5550487366.0,1604017.0,277.0,278.0,13738.0,,
2,KODEX 인버스,1703.0,상승  8,+0.47%,395138102.0,686508.0,1703.0,1704.0,10322.0,,
3,한국ANKOR유전,296.0,하락  12,-3.90%,159244843.0,53184.0,296.0,297.0,207.0,,
4,대영포장,1300.0,하락  109,-7.74%,104410444.0,156041.0,1299.0,1300.0,1409.0,-325.0,-0.02
5,KODEX 2차전지산업레버리지,1684.0,상승  71,+4.40%,81468198.0,131163.0,1684.0,1685.0,7546.0,,
6,KODEX 코스닥150선물인버스,2035.0,하락  10,-0.49%,73636014.0,152406.0,2030.0,2035.0,1990.0,,
7,TIGER 200선물인버스2X,294.0,상승  1,+0.34%,59584879.0,18223.0,294.0,295.0,546.0,,
8,대우건설,17260.0,"상승  1,360",+8.55%,53892697.0,907304.0,17260.0,17270.0,71736.0,-7.86,-23.89
9,SK증권,2070.0,하락  20,-0.96%,44587674.0,91303.0,2070.0,2075.0,9783.0,258.75,-13.91
10,KODEX 코스닥150레버리지,16930.0,상승  270,+1.62%,41792234.0,682735.0,16925.0,16930.0,44340.0,,
11,한창제지,626.0,상승  71,+12.79%,38885629.0,26833.0,626.0,627.0,374.0,-2.86,-14.77
12,삼성 인버스 2X WTI원유 선물 ETN,28.0,보합0,0.00%,37016760.0,1063.0,28.0,29.0,560.0,,
13,흥아해운,2950.0,하락  255,-7.96%,31796681.0,98954.0,2950.0,2955.0,7093.0,23.23,12.66
14,삼성전자,179700.0,하락  400,-0.22%,29113466.0,5114220.0,179700.0,179800.0,10637589.0,27.38,10.85
15,광전자,3250.0,상승  75,+2.36%,28431567.0,97805.0,3245.0,3250.0,1883.0,44.52,1.77
16,KODEX 레버리지,77690.0,하락  810,-1.03%,25651311.0,1903775.0,77690.0,77695.0,50110.0,,
17,삼성 인버스 2X 코스닥150 선물 ETN,1566.0,하락  23,-1.45%,25341247.0,41219.0,1566.0,1567.0,940.0,,
18,KODEX 코스닥150,19830.0,상승  80,+0.41%,21823121.0,425021.0,19825.0,19830.0,71557.0,,
19,모나리자,2465.0,상승  350,+16.55%,20438856.0,50685.0,2460.0,2465.0,901.0,60.12,1.78
20,TIGER 반도체TOP10,31450.0,하락  90,-0.29%,16543397.0,509523.0,31445.0,31450.0,85151.0,,
21,KODEX 200,81225.0,하락  375,-0.46%,14898303.0,1183019.0,81220.0,81225.0,166389.0,,
22,KEC,1803.0,상승  29,+1.63%,13171155.0,23477.0,1803.0,1804.0,3620.0,-18.59,-3.26
23,오리엔트바이오,628.0,상승  46,+7.90%,13064887.0,8830.0,627.0,628.0,745.0,-9.1,-16.82
24,서울식품,181.0,하락  2,-1.09%,12549861.0,2258.0,180.0,181.0,714.0,-25.86,-12.02
25,신성이엔지,2565.0,보합0,0.00%,10201252.0,25697.0,2565.0,2570.0,5280.0,-75.44,-2.97
26,부광약품,9600.0,상승  270,+2.89%,10186203.0,96847.0,9600.0,9610.0,9472.0,65.31,4.3
27,TIGER 2차전지TOP10레버리지,1552.0,상승  59,+3.95%,8795990.0,12915.0,1552.0,1553.0,1530.0,,
28,대한해운,2315.0,하락  40,-1.70%,8424110.0,19357.0,2315.0,2320.0,7472.0,5.14,8.93
29,KODEX 미국S&P500,22320.0,하락  140,-0.62%,8381359.0,186548.0,22315.0,22320.0,78812.0,,
30,미래에셋 인버스 2X 코스닥150 선물 ETN,1572.0,하락  28,-1.75%,7780164.0,12658.0,1572.0,1576.0,259.0,,
31,KODEX 200타겟위클리커버드콜,16925.0,하락  75,-0.44%,7746497.0,128117.0,16920.0,16925.0,35661.0,,
32,TIGER 반도체TOP10레버리지,38050.0,하락  360,-0.94%,7545999.0,274499.0,38040.0,38050.0,12328.0,,
33,깨끗한나라,2115.0,상승  132,+6.66%,7389452.0,16339.0,2110.0,2115.0,788.0,-1.67,-26.34
34,삼성 인버스 2X 은 선물 ETN(H),44.0,보합0,0.00%,7380630.0,335.0,44.0,46.0,57.0,,
35,에이프로젠,337.0,상승  21,+6.65%,7360661.0,2413.0,336.0,337.0,1110.0,-2.05,-37.91
36,TIGER 화장품,3580.0,상승  165,+4.83%,7000243.0,24719.0,3575.0,3580.0,3209.0,,
37,태림포장,2205.0,하락  290,-11.62%,6893066.0,16804.0,2200.0,2205.0,1561.0,-10.6,-6.82
38,KODEX 2차전지산업,16870.0,상승  205,+1.23%,6582628.0,108338.0,16870.0,16875.0,19164.0,,
39,한온시스템,3940.0,상승  45,+1.16%,6564245.0,25190.0,3940.0,3945.0,40435.0,-15.33,-6.0
40,KODEX WTI원유선물인버스(H),2395.0,하락  40,-1.64%,6511583.0,15636.0,2390.0,2395.0,1333.0,,
41,TIGER 미국S&P500,24420.0,하락  160,-0.65%,6413064.0,156190.0,24415.0,24420.0,147997.0,,
42,TIGER 배당커버드콜액티브,17095.0,하락  35,-0.20%,6384325.0,106612.0,17090.0,17095.0,8718.0,,
43,TIGER 2차전지소재Fn,6680.0,상승  150,+2.30%,6278183.0,41160.0,6680.0,6685.0,7862.0,,
44,SOL AI반도체TOP2플러스,9890.0,하락  170,-1.69%,6213766.0,60321.0,9885.0,9890.0,2314.0,,
45,KODEX 반도체레버리지,62575.0,하락  615,-0.97%,6141398.0,369564.0,62560.0,62575.0,10825.0,,
46,TIGER 리츠부동산인프라,4640.0,상승  25,+0.54%,6058266.0,27995.0,4640.0,4645.0,14809.0,,
47,RISE 삼성전자SK하이닉스채권혼합50,9875.0,하락  30,-0.30%,5678189.0,55347.0,9875.0,9880.0,6646.0,,
48,TIGER 인버스,1908.0,상승  8,+0.42%,5533703.0,10745.0,1908.0,1909.0,553.0,,
